Nx,dx,L2_error,Time (s)
200,0.005025125628140704,0.00011866228439063635,1.5599396228790283
400,0.002506265664160401,2.8957207548247534e-05,3.4013543128967285
800,0.0012515644555694619,6.759670501018602e-06,7.878025770187378
1000,0.001001001001001001,4.160352694803276e-06,9.625529766082764
2000,0.0005002501250625312,0.0,22.897066831588745
