L-BFGS_0	8.790796e-03	6.531674e-05	9.405280e-05	1.318594e-03
L-BFGS_100	3.927285e-04	4.944430e-07	1.017306e-06	3.331112e-04
L-BFGS_200	1.439057e-04	3.863111e-07	1.135730e-06	9.391725e-05
L-BFGS_0	2.523945e-03	1.100173e-05	1.172925e-05	1.306479e-03
L-BFGS_100	4.952578e-04	7.942314e-07	5.334441e-07	4.105002e-04
L-BFGS_200	1.464916e-04	3.557421e-07	1.185877e-06	9.905861e-05
L-BFGS_0	2.667567e-03	1.203184e-05	1.499567e-05	1.314426e-03
L-BFGS_100	4.123954e-04	4.695177e-07	1.015190e-06	3.552917e-04
L-BFGS_200	1.407720e-04	3.721179e-07	1.002836e-06	9.353189e-05
L-BFGS_0	2.506872e-03	1.133564e-05	9.915901e-06	1.274148e-03
L-BFGS_100	4.091373e-04	4.021311e-07	1.163581e-06	3.572884e-04
L-BFGS_200	1.329755e-04	2.711851e-07	1.148650e-06	9.437053e-05
L-BFGS_0	2.495926e-03	1.116167e-05	1.012273e-05	1.278531e-03
L-BFGS_100	4.069802e-04	4.516041e-07	1.206145e-06	3.497583e-04
L-BFGS_200	1.315157e-04	3.077177e-07	1.042833e-06	9.031560e-05
L-BFGS_0	2.534291e-03	1.137766e-05	1.064384e-05	1.290086e-03
L-BFGS_100	3.680099e-04	5.711258e-07	1.057317e-06	3.003241e-04
L-BFGS_200	1.400341e-04	3.475655e-07	1.115167e-06	9.412583e-05
L-BFGS_0	2.470262e-03	1.101772e-05	9.528868e-06	1.273201e-03
L-BFGS_100	4.103660e-04	4.912037e-07	9.865196e-07	3.513804e-04
L-BFGS_200	1.461273e-04	3.065665e-07	1.399144e-06	1.014792e-04
L-BFGS_300	4.461357e-05	8.565001e-08	1.208497e-07	3.484007e-05
L-BFGS_400	2.132795e-05	4.579536e-08	1.181749e-07	1.556666e-05
L-BFGS_500	1.131025e-05	3.197602e-08	1.698585e-07	6.414066e-06
